Team,YahooYahoo,OfficeFootballPoolOFP,RunYourPoolRunYourPool,Average
NYG,32.9,32.1,25.6,30.2
PIT,29.8,21.4,24.7,25.3
DET,16.3,17.5,12.5,15.4
NE,9.7,9.0,12.0,10.2
KC,4.8,8.4,8.3,7.1
DAL,1.8,4.0,3.6,3.1
OAK,2.0,3.8,3.0,2.9
SEA,1.4,2.4,2.9,2.2
IND,0.1,0.2,2.2,0.9
CAR,0.3,0.5,1.2,0.6
MIN,0.0,0.0,1.0,0.3
LAR,0.1,0.2,0.6,0.3
MIA,0.3,0.1,0.4,0.3
CIN,0.1,0.1,0.5,0.2
GB,0.1,0.0,0.4,0.2
ARI,0.1,0.0,0.2,0.1
WAS,0.1,0.1,0.1,0.1
NO,0.1,0.0,0.2,0.1
TEN,0.1,0.0,0.1,0.1
HOU,0.0,0.0,0.2,0.1
JAX,0.0,0.0,0.1,0.1
BUF,0.0,0.0,0.1,0.0
BAL,0.0,0.0,0.1,0.0
CHI,0.0,0.0,0.1,0.0
CLE,0.0,0.0,0.0,0.0
PHI,0.0,0.0,0.0,0.0
SF,0.0,0.0,0.0,0.0
TB,0.0,0.0,0.0,0.0
